	leading razor protein	identifier	Cellular component (annotation)	Cellular component (ID)	source
7754	Q9UHY1	NRBP1~Q9UHY1	cytoplasm	GO:0005737	UniProt
7755	Q9UHY1	NRBP1~Q9UHY1	endomembrane system	GO:0012505	UniProt
7756	Q9UHY1	NRBP1~Q9UHY1	lamellipodium	GO:0030027	UniProt
7757	Q9UHY1	NRBP1~Q9UHY1	membrane	GO:0016020	UniProt
7758	Q9UHY1	NRBP1~Q9UHY1	nucleoplasm	GO:0005654	UniProt
7759	Q9UHY7	ENOPH1~Q9UHY7	cytosol	GO:0005829	UniProt
7760	Q9UHY7	ENOPH1~Q9UHY7	nucleus	GO:0005634	UniProt
7761	Q9UI09	NDUFA12~Q9UI09	cytosol	GO:0005829	UniProt
7762	Q9UI09	NDUFA12~Q9UI09	mitochondrial inner membrane	GO:0005743	UniProt
7763	Q9UI09	NDUFA12~Q9UI09	mitochondrial respiratory chain complex I	GO:0005747	UniProt
7764	Q9UI09	NDUFA12~Q9UI09	mitochondrion	GO:0005739	UniProt
7765	Q9UI17	DMGDH~Q9UI17	cytoplasm	GO:0005737	UniProt
7766	Q9UI17	DMGDH~Q9UI17	cytosol	GO:0005829	UniProt
7767	Q9UI17	DMGDH~Q9UI17	mitochondrial matrix	GO:0005759	UniProt
7768	Q9UI17	DMGDH~Q9UI17	mitochondrion	GO:0005739	UniProt
7769	Q9UII2	ATP5IF1~Q9UII2	cell surface	GO:0009986	UniProt
7770	Q9UII2	ATP5IF1~Q9UII2	mitochondrion	GO:0005739	UniProt
7771	Q9UII2	ATP5IF1~Q9UII2	protein-containing complex	GO:0032991	UniProt
7772	Q9UJ70	NAGK~Q9UJ70	cytosol	GO:0005829	UniProt
7773	Q9UJ70	NAGK~Q9UJ70	extracellular exosome	GO:0070062	UniProt
7774	Q9UJA5	TRMT6~Q9UJA5	nucleoplasm	GO:0005654	UniProt
7775	Q9UJA5	TRMT6~Q9UJA5	nucleus	GO:0005634	UniProt
7776	Q9UJA5	TRMT6~Q9UJA5	tRNA (m1A) methyltransferase complex	GO:0031515	UniProt
7777	Q9UJS0	SLC25A13~Q9UJS0	mitochondrial inner membrane	GO:0005743	UniProt
7778	Q9UJS0	SLC25A13~Q9UJS0	mitochondrion	GO:0005739	UniProt
7779	Q9UJS0	SLC25A13~Q9UJS0	plasma membrane	GO:0005886	UniProt
7780	Q9UJZ1	STOML2~Q9UJZ1	actin cytoskeleton	GO:0015629	UniProt
7781	Q9UJZ1	STOML2~Q9UJZ1	immunological synapse	GO:0001772	UniProt
7782	Q9UJZ1	STOML2~Q9UJZ1	membrane raft	GO:0045121	UniProt
7783	Q9UJZ1	STOML2~Q9UJZ1	mitochondrial inner membrane	GO:0005743	UniProt
7784	Q9UJZ1	STOML2~Q9UJZ1	mitochondrial intermembrane space	GO:0005758	UniProt
7785	Q9UJZ1	STOML2~Q9UJZ1	mitochondrion	GO:0005739	UniProt
7786	Q9UJZ1	STOML2~Q9UJZ1	plasma membrane	GO:0005886	UniProt
7787	Q9UKD2	MRTO4~Q9UKD2	cytoplasm	GO:0005737	UniProt
7788	Q9UKD2	MRTO4~Q9UKD2	nucleolus	GO:0005730	UniProt
7789	Q9UKD2	MRTO4~Q9UKD2	preribosome, large subunit precursor	GO:0030687	UniProt
7790	Q9UKR5	ERG28~Q9UKR5	endoplasmic reticulum	GO:0005783	UniProt
7791	Q9UKR5	ERG28~Q9UKR5	endoplasmic reticulum membrane	GO:0005789	UniProt
7792	Q9UKR5	ERG28~Q9UKR5	membrane	GO:0016020	UniProt
7793	Q9UKR5	ERG28~Q9UKR5	transport vesicle	GO:0030133	UniProt
7794	Q9UKS6	PACSIN3~Q9UKS6	cytoplasm	GO:0005737	UniProt
7795	Q9UKS6	PACSIN3~Q9UKS6	cytosol	GO:0005829	UniProt
7796	Q9UKS6	PACSIN3~Q9UKS6	endosome	GO:0005768	UniProt
7797	Q9UKS6	PACSIN3~Q9UKS6	extracellular exosome	GO:0070062	UniProt
7798	Q9UKS6	PACSIN3~Q9UKS6	plasma membrane	GO:0005886	UniProt
7799	Q9UKV8	AGO2~Q9UKV8	cytoplasm	GO:0005737	UniProt
7800	Q9UKV8	AGO2~Q9UKV8	cytoplasmic ribonucleoprotein granule	GO:0036464	UniProt
7801	Q9UKV8	AGO2~Q9UKV8	cytosol	GO:0005829	UniProt
7802	Q9UKV8	AGO2~Q9UKV8	dendrite	GO:0030425	UniProt
7803	Q9UKV8	AGO2~Q9UKV8	extracellular exosome	GO:0070062	UniProt
7804	Q9UKV8	AGO2~Q9UKV8	membrane	GO:0016020	UniProt
7805	Q9UKV8	AGO2~Q9UKV8	nucleoplasm	GO:0005654	UniProt
7806	Q9UKV8	AGO2~Q9UKV8	nucleus	GO:0005634	UniProt
7807	Q9UKV8	AGO2~Q9UKV8	P-body	GO:0000932	UniProt
7808	Q9UKV8	AGO2~Q9UKV8	RISC complex	GO:0016442	UniProt
7809	Q9UKV8	AGO2~Q9UKV8	RISC-loading complex	GO:0070578	UniProt
7810	Q9UL12	SARDH~Q9UL12	cytoplasm	GO:0005737	UniProt
7811	Q9UL12	SARDH~Q9UL12	mitochondrial matrix	GO:0005759	UniProt
7812	Q9UL12	SARDH~Q9UL12	mitochondrion	GO:0005739	UniProt
7813	Q9UMS4	PRPF19~Q9UMS4	catalytic step 2 spliceosome	GO:0071013	UniProt
7814	Q9UMS4	PRPF19~Q9UMS4	cytoplasm	GO:0005737	UniProt
7815	Q9UMS4	PRPF19~Q9UMS4	lipid droplet	GO:0005811	UniProt
7816	Q9UMS4	PRPF19~Q9UMS4	membrane	GO:0016020	UniProt
7817	Q9UMS4	PRPF19~Q9UMS4	nuclear speck	GO:0016607	UniProt
7818	Q9UMS4	PRPF19~Q9UMS4	nucleoplasm	GO:0005654	UniProt
7819	Q9UMS4	PRPF19~Q9UMS4	nucleus	GO:0005634	UniProt
7820	Q9UMS4	PRPF19~Q9UMS4	Prp19 complex	GO:0000974	UniProt
7821	Q9UMS4	PRPF19~Q9UMS4	site of double-strand break	GO:0035861	UniProt
7822	Q9UMS4	PRPF19~Q9UMS4	spindle	GO:0005819	UniProt
7823	Q9UMS4	PRPF19~Q9UMS4	spliceosomal complex	GO:0005681	UniProt
7824	Q9UMS4	PRPF19~Q9UMS4	U2-type catalytic step 1 spliceosome	GO:0071006	UniProt
7825	Q9UMS4	PRPF19~Q9UMS4	U2-type catalytic step 2 spliceosome	GO:0071007	UniProt
7826	Q9UN36	NDRG2~Q9UN36	cytoplasm	GO:0005737	UniProt
7827	Q9UN36	NDRG2~Q9UN36	cytosol	GO:0005829	UniProt
7828	Q9UN36	NDRG2~Q9UN36	extracellular exosome	GO:0070062	UniProt
7829	Q9UN36	NDRG2~Q9UN36	Golgi apparatus	GO:0005794	UniProt
7830	Q9UN36	NDRG2~Q9UN36	growth cone	GO:0030426	UniProt
7831	Q9UN36	NDRG2~Q9UN36	nucleus	GO:0005634	UniProt
7832	Q9UN36	NDRG2~Q9UN36	perinuclear region of cytoplasm	GO:0048471	UniProt
7833	Q9UNN5	FAF1~Q9UNN5	CD95 death-inducing signaling complex	GO:0031265	UniProt
7834	Q9UNN5	FAF1~Q9UNN5	cytosol	GO:0005829	UniProt
7835	Q9UNN5	FAF1~Q9UNN5	endoplasmic reticulum	GO:0005783	UniProt
7836	Q9UNN5	FAF1~Q9UNN5	nuclear envelope	GO:0005635	UniProt
7837	Q9UNN5	FAF1~Q9UNN5	nucleoplasm	GO:0005654	UniProt
7838	Q9UNN5	FAF1~Q9UNN5	nucleus	GO:0005634	UniProt
7839	Q9UNN5	FAF1~Q9UNN5	ooplasm	GO:1990917	UniProt
7840	Q9UNN5	FAF1~Q9UNN5	perinuclear region of cytoplasm	GO:0048471	UniProt
7841	Q9UNN5	FAF1~Q9UNN5	VCP-NPL4-UFD1 AAA ATPase complex	GO:0034098	UniProt
7842	Q9UNS2	COPS3~Q9UNS2	COP9 signalosome	GO:0008180	UniProt
7843	Q9UNS2	COPS3~Q9UNS2	cytoplasm	GO:0005737	UniProt
7844	Q9UNS2	COPS3~Q9UNS2	cytosol	GO:0005829	UniProt
7845	Q9UNS2	COPS3~Q9UNS2	nucleoplasm	GO:0005654	UniProt
7846	Q9UNS2	COPS3~Q9UNS2	nucleus	GO:0005634	UniProt
7847	Q9UNS2	COPS3~Q9UNS2	perinuclear region of cytoplasm	GO:0048471	UniProt
7848	Q9UNU6	CYP8B1~Q9UNU6	endoplasmic reticulum membrane	GO:0005789	UniProt
7849	Q9UNW1	MINPP1~Q9UNW1	endoplasmic reticulum lumen	GO:0005788	UniProt
7850	Q9UNW1	MINPP1~Q9UNW1	extracellular exosome	GO:0070062	UniProt
7851	Q9UNW1	MINPP1~Q9UNW1	extracellular space	GO:0005615	UniProt
7852	Q9UNW1	MINPP1~Q9UNW1	plasma membrane	GO:0005886	UniProt
7853	Q9UNX3	RPL26L1~Q9UNX3	cytosolic large ribosomal subunit	GO:0022625	UniProt
7854	Q9UNX3	RPL26L1~Q9UNX3	extracellular exosome	GO:0070062	UniProt
7855	Q9UPN7	PPP6R1~Q9UPN7	cytosol	GO:0005829	UniProt
7856	Q9UPN7	PPP6R1~Q9UPN7	nucleus	GO:0005634	UniProt
7857	Q9Y224	RTRAF~Q9Y224	centrosome	GO:0005813	UniProt
7858	Q9Y224	RTRAF~Q9Y224	cytoplasm	GO:0005737	UniProt
7859	Q9Y224	RTRAF~Q9Y224	cytosol	GO:0005829	UniProt
7860	Q9Y224	RTRAF~Q9Y224	mitotic spindle	GO:0072686	UniProt
7861	Q9Y224	RTRAF~Q9Y224	nucleoplasm	GO:0005654	UniProt
7862	Q9Y224	RTRAF~Q9Y224	nucleus	GO:0005634	UniProt
7863	Q9Y224	RTRAF~Q9Y224	perinuclear region of cytoplasm	GO:0048471	UniProt
7864	Q9Y224	RTRAF~Q9Y224	tRNA-splicing ligase complex	GO:0072669	UniProt
7865	Q9Y230	RUVBL2~Q9Y230	centrosome	GO:0005813	UniProt
7866	Q9Y230	RUVBL2~Q9Y230	cytoplasm	GO:0005737	UniProt
7867	Q9Y230	RUVBL2~Q9Y230	cytosol	GO:0005829	UniProt
7868	Q9Y230	RUVBL2~Q9Y230	dynein axonemal particle	GO:0120293	UniProt
7869	Q9Y230	RUVBL2~Q9Y230	euchromatin	GO:0000791	UniProt
7870	Q9Y230	RUVBL2~Q9Y230	extracellular exosome	GO:0070062	UniProt
7871	Q9Y230	RUVBL2~Q9Y230	Ino80 complex	GO:0031011	UniProt
7872	Q9Y230	RUVBL2~Q9Y230	membrane	GO:0016020	UniProt
7873	Q9Y230	RUVBL2~Q9Y230	MLL1 complex	GO:0071339	UniProt
7874	Q9Y230	RUVBL2~Q9Y230	NuA4 histone acetyltransferase complex	GO:0035267	UniProt
7875	Q9Y230	RUVBL2~Q9Y230	nuclear matrix	GO:0016363	UniProt
7876	Q9Y230	RUVBL2~Q9Y230	nucleoplasm	GO:0005654	UniProt
7877	Q9Y230	RUVBL2~Q9Y230	nucleosome	GO:0000786	UniProt
7878	Q9Y230	RUVBL2~Q9Y230	nucleus	GO:0005634	UniProt
7879	Q9Y230	RUVBL2~Q9Y230	protein folding chaperone complex	GO:0101031	UniProt
7880	Q9Y230	RUVBL2~Q9Y230	R2TP complex	GO:0097255	UniProt
7881	Q9Y230	RUVBL2~Q9Y230	ribonucleoprotein complex	GO:1990904	UniProt
7882	Q9Y230	RUVBL2~Q9Y230	RPAP3/R2TP/prefoldin-like complex	GO:1990062	UniProt
7883	Q9Y230	RUVBL2~Q9Y230	Swr1 complex	GO:0000812	UniProt
7884	Q9Y259	CHKB~Q9Y259	cytoplasm	GO:0005737	UniProt
7885	Q9Y259	CHKB~Q9Y259	cytosol	GO:0005829	UniProt
7886	Q9Y265	RUVBL1~Q9Y265	centrosome	GO:0005813	UniProt
7887	Q9Y265	RUVBL1~Q9Y265	cytosol	GO:0005829	UniProt
7888	Q9Y265	RUVBL1~Q9Y265	dynein axonemal particle	GO:0120293	UniProt
7889	Q9Y265	RUVBL1~Q9Y265	extracellular exosome	GO:0070062	UniProt
7890	Q9Y265	RUVBL1~Q9Y265	Ino80 complex	GO:0031011	UniProt
7891	Q9Y265	RUVBL1~Q9Y265	membrane	GO:0016020	UniProt
7892	Q9Y265	RUVBL1~Q9Y265	MLL1 complex	GO:0071339	UniProt
7893	Q9Y265	RUVBL1~Q9Y265	NuA4 histone acetyltransferase complex	GO:0035267	UniProt
7894	Q9Y265	RUVBL1~Q9Y265	nuclear matrix	GO:0016363	UniProt
7895	Q9Y265	RUVBL1~Q9Y265	nucleoplasm	GO:0005654	UniProt
7896	Q9Y265	RUVBL1~Q9Y265	nucleosome	GO:0000786	UniProt
7897	Q9Y265	RUVBL1~Q9Y265	nucleus	GO:0005634	UniProt
7898	Q9Y265	RUVBL1~Q9Y265	protein folding chaperone complex	GO:0101031	UniProt
7899	Q9Y265	RUVBL1~Q9Y265	R2TP complex	GO:0097255	UniProt
7900	Q9Y265	RUVBL1~Q9Y265	ribonucleoprotein complex	GO:1990904	UniProt
7901	Q9Y265	RUVBL1~Q9Y265	RPAP3/R2TP/prefoldin-like complex	GO:1990062	UniProt
7902	Q9Y265	RUVBL1~Q9Y265	Swr1 complex	GO:0000812	UniProt
7903	Q9Y276	BCS1L~Q9Y276	mitochondrial inner membrane	GO:0005743	UniProt
7904	Q9Y276	BCS1L~Q9Y276	mitochondrial respiratory chain complex III	GO:0005750	UniProt
7905	Q9Y276	BCS1L~Q9Y276	mitochondrion	GO:0005739	UniProt
7906	Q9Y277	VDAC3~Q9Y277	extracellular exosome	GO:0070062	UniProt
7907	Q9Y277	VDAC3~Q9Y277	membrane	GO:0016020	UniProt
7908	Q9Y277	VDAC3~Q9Y277	mitochondrial outer membrane	GO:0005741	UniProt
7909	Q9Y277	VDAC3~Q9Y277	mitochondrion	GO:0005739	UniProt
7910	Q9Y277	VDAC3~Q9Y277	nucleus	GO:0005634	UniProt
7911	Q9Y277	VDAC3~Q9Y277	pore complex	GO:0046930	UniProt
7912	Q9Y277	VDAC3~Q9Y277	synapse	GO:0045202	UniProt
7913	Q9Y281	CFL2~Q9Y281	actin cytoskeleton	GO:0015629	UniProt
7914	Q9Y281	CFL2~Q9Y281	cytoplasm	GO:0005737	UniProt
7915	Q9Y281	CFL2~Q9Y281	extracellular exosome	GO:0070062	UniProt
7916	Q9Y281	CFL2~Q9Y281	extracellular space	GO:0005615	UniProt
7917	Q9Y281	CFL2~Q9Y281	I band	GO:0031674	UniProt
7918	Q9Y281	CFL2~Q9Y281	nuclear matrix	GO:0016363	UniProt
7919	Q9Y281	CFL2~Q9Y281	Z disc	GO:0030018	UniProt
7920	Q9Y294	ASF1A~Q9Y294	chromatin	GO:0000785	UniProt
7921	Q9Y294	ASF1A~Q9Y294	nucleoplasm	GO:0005654	UniProt
7922	Q9Y294	ASF1A~Q9Y294	nucleus	GO:0005634	UniProt
7923	Q9Y294	ASF1A~Q9Y294	protein-containing complex	GO:0032991	UniProt
7924	Q9Y294	ASF1A~Q9Y294	site of double-strand break	GO:0035861	UniProt
7925	Q9Y2B0	CNPY2~Q9Y2B0	endoplasmic reticulum	GO:0005783	UniProt
7926	Q9Y2P5	SLC27A5~Q9Y2P5	basal plasma membrane	GO:0009925	UniProt
7927	Q9Y2P5	SLC27A5~Q9Y2P5	endoplasmic reticulum	GO:0005783	UniProt
7928	Q9Y2P5	SLC27A5~Q9Y2P5	endoplasmic reticulum membrane	GO:0005789	UniProt
7929	Q9Y2P5	SLC27A5~Q9Y2P5	plasma membrane	GO:0005886	UniProt
7930	Q9Y2P5	SLC27A5~Q9Y2P5	protein-containing complex	GO:0032991	UniProt
7931	Q9Y2Q3	GSTK1~Q9Y2Q3	cytosol	GO:0005829	UniProt
7932	Q9Y2Q3	GSTK1~Q9Y2Q3	extracellular exosome	GO:0070062	UniProt
7933	Q9Y2Q3	GSTK1~Q9Y2Q3	membrane	GO:0016020	UniProt
7934	Q9Y2Q3	GSTK1~Q9Y2Q3	mitochondrial matrix	GO:0005759	UniProt
7935	Q9Y2Q3	GSTK1~Q9Y2Q3	mitochondrion	GO:0005739	UniProt
7936	Q9Y2Q3	GSTK1~Q9Y2Q3	peroxisomal matrix	GO:0005782	UniProt
7937	Q9Y2Q3	GSTK1~Q9Y2Q3	peroxisome	GO:0005777	UniProt
7938	Q9Y2S2	CRYL1~Q9Y2S2	cytosol	GO:0005829	UniProt
7939	Q9Y2S2	CRYL1~Q9Y2S2	extracellular exosome	GO:0070062	UniProt
7940	Q9Y2X3	NOP58~Q9Y2X3	box C/D RNP complex	GO:0031428	UniProt
7941	Q9Y2X3	NOP58~Q9Y2X3	Cajal body	GO:0015030	UniProt
7942	Q9Y2X3	NOP58~Q9Y2X3	cytosol	GO:0005829	UniProt
7943	Q9Y2X3	NOP58~Q9Y2X3	fibrillar center	GO:0001650	UniProt
7944	Q9Y2X3	NOP58~Q9Y2X3	membrane	GO:0016020	UniProt
7945	Q9Y2X3	NOP58~Q9Y2X3	nucleolus	GO:0005730	UniProt
7946	Q9Y2X3	NOP58~Q9Y2X3	nucleoplasm	GO:0005654	UniProt
7947	Q9Y2X3	NOP58~Q9Y2X3	pre-snoRNP complex	GO:0070761	UniProt
7948	Q9Y2X3	NOP58~Q9Y2X3	small-subunit processome	GO:0032040	UniProt
7949	Q9Y2X3	NOP58~Q9Y2X3	sno(s)RNA-containing ribonucleoprotein complex	GO:0005732	UniProt
7950	Q9Y2Z0	SUGT1~Q9Y2Z0	cytosol	GO:0005829	UniProt
7951	Q9Y2Z0	SUGT1~Q9Y2Z0	kinetochore	GO:0000776	UniProt
7952	Q9Y2Z0	SUGT1~Q9Y2Z0	nucleus	GO:0005634	UniProt
7953	Q9Y2Z0	SUGT1~Q9Y2Z0	protein-containing complex	GO:0032991	UniProt
7954	Q9Y2Z0	SUGT1~Q9Y2Z0	ubiquitin ligase complex	GO:0000151	UniProt
7955	Q9Y399	MRPS2~Q9Y399	cytosolic small ribosomal subunit	GO:0022627	UniProt
7956	Q9Y399	MRPS2~Q9Y399	mitochondrial inner membrane	GO:0005743	UniProt
7957	Q9Y399	MRPS2~Q9Y399	mitochondrial matrix	GO:0005759	UniProt
7958	Q9Y399	MRPS2~Q9Y399	mitochondrial small ribosomal subunit	GO:0005763	UniProt
7959	Q9Y399	MRPS2~Q9Y399	mitochondrion	GO:0005739	UniProt
7960	Q9Y3C6	PPIL1~Q9Y3C6	catalytic step 2 spliceosome	GO:0071013	UniProt
7961	Q9Y3C6	PPIL1~Q9Y3C6	nucleoplasm	GO:0005654	UniProt
7962	Q9Y3C6	PPIL1~Q9Y3C6	nucleus	GO:0005634	UniProt
7963	Q9Y3C6	PPIL1~Q9Y3C6	U2-type catalytic step 2 spliceosome	GO:0071007	UniProt
7964	Q9Y3D3	MRPS16~Q9Y3D3	cytosol	GO:0005829	UniProt
7965	Q9Y3D3	MRPS16~Q9Y3D3	mitochondrial inner membrane	GO:0005743	UniProt
7966	Q9Y3D3	MRPS16~Q9Y3D3	mitochondrial small ribosomal subunit	GO:0005763	UniProt
7967	Q9Y3D3	MRPS16~Q9Y3D3	mitochondrion	GO:0005739	UniProt
7968	Q9Y3I0	RTCB~Q9Y3I0	cytoplasm	GO:0005737	UniProt
7969	Q9Y3I0	RTCB~Q9Y3I0	cytosol	GO:0005829	UniProt
7970	Q9Y3I0	RTCB~Q9Y3I0	endoplasmic reticulum membrane	GO:0005789	UniProt
7971	Q9Y3I0	RTCB~Q9Y3I0	intracellular membrane-bounded organelle	GO:0043231	UniProt
7972	Q9Y3I0	RTCB~Q9Y3I0	nuclear envelope	GO:0005635	UniProt
7973	Q9Y3I0	RTCB~Q9Y3I0	nucleoplasm	GO:0005654	UniProt
7974	Q9Y3I0	RTCB~Q9Y3I0	nucleus	GO:0005634	UniProt
7975	Q9Y3I0	RTCB~Q9Y3I0	tRNA-splicing ligase complex	GO:0072669	UniProt
7976	Q9Y3L5	RAP2C~Q9Y3L5	bicellular tight junction	GO:0005923	UniProt
7977	Q9Y3L5	RAP2C~Q9Y3L5	cell-cell contact zone	GO:0044291	UniProt
7978	Q9Y3L5	RAP2C~Q9Y3L5	cytoplasm	GO:0005737	UniProt
7979	Q9Y3L5	RAP2C~Q9Y3L5	cytosol	GO:0005829	UniProt
7980	Q9Y3L5	RAP2C~Q9Y3L5	extracellular exosome	GO:0070062	UniProt
7981	Q9Y3L5	RAP2C~Q9Y3L5	plasma membrane	GO:0005886	UniProt
7982	Q9Y3L5	RAP2C~Q9Y3L5	recycling endosome membrane	GO:0055038	UniProt
7983	Q9Y3L5	RAP2C~Q9Y3L5	tertiary granule membrane	GO:0070821	UniProt
7984	Q9Y3U8	RPL36~Q9Y3U8	cytoplasm	GO:0005737	UniProt
7985	Q9Y3U8	RPL36~Q9Y3U8	cytosol	GO:0005829	UniProt
7986	Q9Y3U8	RPL36~Q9Y3U8	cytosolic large ribosomal subunit	GO:0022625	UniProt
7987	Q9Y3U8	RPL36~Q9Y3U8	cytosolic ribosome	GO:0022626	UniProt
7988	Q9Y3U8	RPL36~Q9Y3U8	membrane	GO:0016020	UniProt
7989	Q9Y3U8	RPL36~Q9Y3U8	nucleolus	GO:0005730	UniProt
7990	Q9Y3U8	RPL36~Q9Y3U8	synapse	GO:0045202	UniProt
7991	Q9Y3Z3	SAMHD1~Q9Y3Z3	nucleoplasm	GO:0005654	UniProt
7992	Q9Y3Z3	SAMHD1~Q9Y3Z3	nucleus	GO:0005634	UniProt
7993	Q9Y3Z3	SAMHD1~Q9Y3Z3	plasma membrane	GO:0005886	UniProt
7994	Q9Y3Z3	SAMHD1~Q9Y3Z3	site of double-strand break	GO:0035861	UniProt
7995	Q9Y3Z3	SAMHD1~Q9Y3Z3	tetraspanin-enriched microdomain	GO:0097197	UniProt
7996	Q9Y490	TLN1~Q9Y490	adherens junction	GO:0005912	UniProt
7997	Q9Y490	TLN1~Q9Y490	cell surface	GO:0009986	UniProt
7998	Q9Y490	TLN1~Q9Y490	cytoskeleton	GO:0005856	UniProt
7999	Q9Y490	TLN1~Q9Y490	cytosol	GO:0005829	UniProt
8000	Q9Y490	TLN1~Q9Y490	extracellular exosome	GO:0070062	UniProt
8001	Q9Y490	TLN1~Q9Y490	extracellular region	GO:0005576	UniProt
8002	Q9Y490	TLN1~Q9Y490	focal adhesion	GO:0005925	UniProt
8003	Q9Y490	TLN1~Q9Y490	plasma membrane	GO:0005886	UniProt
8004	Q9Y490	TLN1~Q9Y490	ruffle	GO:0001726	UniProt
8005	Q9Y490	TLN1~Q9Y490	ruffle membrane	GO:0032587	UniProt
8006	Q9Y4E8	USP15~Q9Y4E8	cytoplasm	GO:0005737	UniProt
8007	Q9Y4E8	USP15~Q9Y4E8	cytosol	GO:0005829	UniProt
8008	Q9Y4E8	USP15~Q9Y4E8	mitochondrion	GO:0005739	UniProt
8009	Q9Y4E8	USP15~Q9Y4E8	nuclear body	GO:0016604	UniProt
8010	Q9Y4E8	USP15~Q9Y4E8	nucleoplasm	GO:0005654	UniProt
8011	Q9Y4E8	USP15~Q9Y4E8	nucleus	GO:0005634	UniProt
8012	Q9Y512	SAMM50~Q9Y512	extracellular exosome	GO:0070062	UniProt
8013	Q9Y512	SAMM50~Q9Y512	membrane	GO:0016020	UniProt
8014	Q9Y512	SAMM50~Q9Y512	MIB complex	GO:0140275	UniProt
8015	Q9Y512	SAMM50~Q9Y512	mitochondrial outer membrane	GO:0005741	UniProt
8016	Q9Y512	SAMM50~Q9Y512	mitochondrion	GO:0005739	UniProt
8017	Q9Y512	SAMM50~Q9Y512	SAM complex	GO:0001401	UniProt
8018	Q9Y5J7	TIMM9~Q9Y5J7	mitochondrial inner membrane	GO:0005743	UniProt
8019	Q9Y5J7	TIMM9~Q9Y5J7	mitochondrial intermembrane space	GO:0005758	UniProt
8020	Q9Y5J7	TIMM9~Q9Y5J7	mitochondrial intermembrane space protein transporter complex	GO:0042719	UniProt
8021	Q9Y5J7	TIMM9~Q9Y5J7	mitochondrion	GO:0005739	UniProt
8022	Q9Y5J7	TIMM9~Q9Y5J7	TIM22 mitochondrial import inner membrane insertion complex	GO:0042721	UniProt
8023	Q9Y5M8	SRPRB~Q9Y5M8	cytoplasm	GO:0005737	UniProt
8024	Q9Y5M8	SRPRB~Q9Y5M8	cytoplasmic microtubule	GO:0005881	UniProt
8025	Q9Y5M8	SRPRB~Q9Y5M8	endoplasmic reticulum membrane	GO:0005789	UniProt
8026	Q9Y5M8	SRPRB~Q9Y5M8	Golgi apparatus	GO:0005794	UniProt
8027	Q9Y5M8	SRPRB~Q9Y5M8	membrane	GO:0016020	UniProt
8028	Q9Y5M8	SRPRB~Q9Y5M8	signal recognition particle receptor complex	GO:0005785	UniProt
8029	Q9Y5U8	MPC1~Q9Y5U8	inner mitochondrial membrane protein complex	GO:0098800	UniProt
8030	Q9Y5U8	MPC1~Q9Y5U8	mitochondrial inner membrane	GO:0005743	UniProt
8031	Q9Y5U8	MPC1~Q9Y5U8	mitochondrion	GO:0005739	UniProt
8032	Q9Y5X3	SNX5~Q9Y5X3	brush border	GO:0005903	UniProt
8033	Q9Y5X3	SNX5~Q9Y5X3	cytoplasmic side of early endosome membrane	GO:0098559	UniProt
8034	Q9Y5X3	SNX5~Q9Y5X3	cytoplasmic side of plasma membrane	GO:0009898	UniProt
8035	Q9Y5X3	SNX5~Q9Y5X3	cytosol	GO:0005829	UniProt
8036	Q9Y5X3	SNX5~Q9Y5X3	endosome	GO:0005768	UniProt
8037	Q9Y5X3	SNX5~Q9Y5X3	intracellular membrane-bounded organelle	GO:0043231	UniProt
8038	Q9Y5X3	SNX5~Q9Y5X3	macropinocytic cup	GO:0070685	UniProt
8039	Q9Y5X3	SNX5~Q9Y5X3	perinuclear region of cytoplasm	GO:0048471	UniProt
8040	Q9Y5X3	SNX5~Q9Y5X3	phagocytic cup	GO:0001891	UniProt
8041	Q9Y5X3	SNX5~Q9Y5X3	retromer complex	GO:0030904	UniProt
8042	Q9Y5X3	SNX5~Q9Y5X3	retromer, tubulation complex	GO:0030905	UniProt
8043	Q9Y5X3	SNX5~Q9Y5X3	ruffle	GO:0001726	UniProt
8044	Q9Y5X3	SNX5~Q9Y5X3	tubular endosome	GO:0097422	UniProt
8045	Q9Y617	PSAT1~Q9Y617	cytoplasm	GO:0005737	UniProt
8046	Q9Y617	PSAT1~Q9Y617	cytosol	GO:0005829	UniProt
8047	Q9Y617	PSAT1~Q9Y617	extracellular exosome	GO:0070062	UniProt
8048	Q9Y619	SLC25A15~Q9Y619	membrane	GO:0016020	UniProt
8049	Q9Y619	SLC25A15~Q9Y619	mitochondrial inner membrane	GO:0005743	UniProt
8050	Q9Y619	SLC25A15~Q9Y619	mitochondrion	GO:0005739	UniProt
8051	Q9Y676	MRPS18B~Q9Y676	cell junction	GO:0030054	UniProt
8052	Q9Y676	MRPS18B~Q9Y676	mitochondrial inner membrane	GO:0005743	UniProt
8053	Q9Y676	MRPS18B~Q9Y676	mitochondrial small ribosomal subunit	GO:0005763	UniProt
8054	Q9Y676	MRPS18B~Q9Y676	mitochondrion	GO:0005739	UniProt
8055	Q9Y676	MRPS18B~Q9Y676	nucleoplasm	GO:0005654	UniProt
8056	Q9Y678	COPG1~Q9Y678	COPI vesicle coat	GO:0030126	UniProt
8057	Q9Y678	COPG1~Q9Y678	cytosol	GO:0005829	UniProt
8058	Q9Y678	COPG1~Q9Y678	endoplasmic reticulum	GO:0005783	UniProt
8059	Q9Y678	COPG1~Q9Y678	endoplasmic reticulum membrane	GO:0005789	UniProt
8060	Q9Y678	COPG1~Q9Y678	endoplasmic reticulum-Golgi intermediate compartment	GO:0005793	UniProt
